You	PP	you
would	MD	would
n't	RB	n't
do	VB	do
only	JJ	only
half	NN	half
of	IN	of
your	PP$	your
daily	JJ	daily
routine	NN	routine
,	,	,
so	RB	so
why	WRB	why
treat	VB	treat
your	PP$	your
mouth	NN	mouth
any	RB	any
differently	RB	differently
?	SENT	?
Complete	VB	complete
the	DT	the
job	NN	job
with	IN	with
Listerine	NP	Listerine
.	SENT	.
Help	VB	help
prevent	VB	prevent
plaque	NN	plaque
,	,	,
early	JJ	early
gum	NN	gum
disease	NN	disease
,	,	,
bad	JJ	bad
breath	NN	breath
,	,	,
and	CC	and
kill	VB	kill
up	RP	up
to	TO	to
99.9	CD	@card@
%	NN	%
of	IN	of
germs	NNS	germ
.	SENT	.
Listerine	NP	Listerine
.	SENT	.
