How	WRB	how
do	VBP	do
they	PP	they
make	VB	make
Starburst	NP	<unknown>
taste	VB	taste
so	RB	so
juicy	JJ	juicy
?	SENT	?
They	PP	they
use	VBP	use
wicked	JJ	wicked
small	JJ	small
fighter	NN	fighter
jets	NNS	jet
to	TO	to
shoot	VB	shoot
the	DT	the
juiciness	NN	juiciness
into	IN	into
every	DT	every
Starburst	NN	Starburst
.	SENT	.
It	PP	it
's	VBZ	be
about	RB	about
to	TO	to
get	VB	get
juicy	JJ	juicy
.	SENT	.
Woo	NP	Woo
!	SENT	!
I	PP	I
feel	VBP	feel
so	RB	so
alive	JJ	alive
!	SENT	!
It	PP	it
takes	VBZ	take
guts	NNS	gut
.	SENT	.
Starburst	NN	Starburst
on	IN	on
X-	NN	X-
