hi	UH	hi
look	VB	look
at	IN	at
how	WRB	how
great	JJ	great
you	PP	you
look	VBP	look
thank	VB	thank
you	PP	you
i	NP	i
feel	VBP	feel
like	IN	like
i	NP	i
've	VBP	have
been	VBN	be
on	IN	on
a	DT	a
diet	NN	diet
my	PP$	my
entire	JJ	entire
life	NN	life
i	NP	i
even	RB	even
cut	VBD	cut
out	RP	out
bread	NN	bread
and	CC	and
pasta	NN	pasta
for	IN	for
a	DT	a
day	NN	day
and	CC	and
then	RB	then
i	NP	i
tried	VBD	try
noom	NN	<unknown>
i	NNS	i
feel	VBP	feel
like	IN	like
anyone	NN	anyone
could	MD	could
use	VB	use
noom	NN	<unknown>
it	PP	it
's	VBZ	be
an	DT	an
easy	JJ	easy
to	TO	to
stick	VB	stick
to	TO	to
program	NN	program
that	WDT	that
actually	RB	actually
changed	VBD	change
my	PP$	my
habits	NNS	habit
it	PP	it
changed	VBD	change
the	DT	the
way	NN	way
i	NNS	i
look	VBP	look
at	IN	at
food	NN	food
they	PP	they
say	VBP	say
it	PP	it
's	VBZ	be
based	VBN	base
on	IN	on
a	DT	a
cognitive	JJ	cognitive
behavioral	JJ	behavioral
approach	NN	approach
i	NNS	i
just	RB	just
say	VBP	say
it	PP	it
works	VBZ	work
it	PP	it
just	RB	just
clicked	VBD	click
it	PP	it
worked	VBD	work
it	PP	it
worked	VBD	work
with	IN	with
noom	NN	<unknown>
visit	NN	visit
noom.com	NN	<unknown>
and	CC	and
lose	VB	lose
the	DT	the
weight	NN	weight
for	IN	for
good	JJ	good
you	PP	you
