How	WRB	how
can	MD	can
I	PP	I
explain	VB	explain
,	,	,
talking	VBG	talk
to	TO	to
myself	PP	myself
,	,	,
will	MD	will
I	PP	I
see	VB	see
again	RB	again
,	,	,
we	PP	we
are	VBP	be
always	RB	always
running	VBG	run
for	IN	for
the	DT	the
thrill	NN	thrill
of	IN	of
it	PP	it
,	,	,
thrill	VB	thrill
of	IN	of
it	PP	it
,	,	,
always	RB	always
pushing	VBG	push
up	RP	up
the	DT	the
hill	NN	hill
,	,	,
searching	VBG	search
for	IN	for
the	DT	the
thrill	NN	thrill
of	IN	of
it	PP	it
,	,	,
never	RB	never
looking	VBG	look
down	RP	down
,	,	,
I	PP	I
'm	VBP	be
just	RB	just
an	DT	an
aura	NN	aura
,	,	,
what	WP	what
's	VBZ	be
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
is	VBZ	be
it	PP	it
random	JJ	random
,	,	,
is	VBZ	be
it	PP	it
real	JJ	real
,	,	,
I	PP	I
'm	VBP	be
just	RB	just
an	DT	an
aura	NN	aura
,	,	,
what	WP	what
's	VBZ	be
in	IN	in
front	NN	front
of	IN	of
me	PP	me
,	,	,
is	VBZ	be
it	PP	it
real	JJ	real
,	,	,
I	PP	I
'm	VBP	be
just	RB	just
an	DT	an
aura	NN	aura
,	,	,
what	WP	what
's	VBZ	be
in	IN	in
