Hello	UH	hello
,	,	,
ladies	NNS	lady
.	SENT	.
Look	VB	look
at	IN	at
your	PP$	your
man	NN	man
.	SENT	.
Now	RB	now
back	RB	back
to	TO	to
me	PP	me
.	SENT	.
Now	RB	now
back	RB	back
at	IN	at
your	PP$	your
man	NN	man
.	SENT	.
Now	RB	now
back	RB	back
to	TO	to
me	PP	me
.	SENT	.
Sadly	RB	sadly
,	,	,
he	PP	he
is	VBZ	be
n't	RB	n't
me	PP	me
.	SENT	.
But	CC	but
if	IN	if
he	PP	he
stopped	VBD	stop
using	VBG	use
Lady	NP	Lady
's	POS	's
Scented	VBD	scent
Body	NP	Body
Wash	NP	Wash
and	CC	and
switched	VBD	switch
to	TO	to
Old	NP	Old
Spice	NP	Spice
,	,	,
he	PP	he
could	MD	could
smell	VB	smell
like	IN	like
he	PP	he
's	VBZ	be
me	PP	me
.	SENT	.
Look	VB	look
down	RB	down
.	SENT	.
Back	RB	back
up	RB	up
.	SENT	.
Where	WRB	where
are	VBP	be
you	PP	you
?	SENT	?
You	PP	you
're	VBP	be
on	IN	on
a	DT	a
boat	NN	boat
with	IN	with
the	DT	the
man	NN	man
your	PP$	your
man	NN	man
could	MD	could
smell	VB	smell
like	IN	like
.	SENT	.
What	WP	what
's	VBZ	be
in	IN	in
your	PP$	your
hand	NN	hand
?	SENT	?
Back	RB	back
at	IN	at
me	PP	me
.	SENT	.
I	PP	I
have	VBP	have
it	PP	it
.	SENT	.
It	PP	it
's	VBZ	be
an	DT	an
oyster	NN	oyster
with	IN	with
two	CD	two
tickets	NNS	ticket
to	TO	to
that	WDT	that
thing	NN	thing
you	PP	you
love	VBP	love
.	SENT	.
Look	VB	look
again	RB	again
.	SENT	.
The	DT	the
tickets	NNS	ticket
are	VBP	be
now	RB	now
diamonds	NNS	diamond
.	SENT	.
Anything	NN	anything
is	VBZ	be
possible	JJ	possible
when	WRB	when
your	PP$	your
man	NN	man
smells	VBZ	smell
like	IN	like
Old	NP	Old
Spice	NP	Spice
and	CC	and
not	RB	not
a	DT	a
lady	NN	lady
.	SENT	.
I	PP	I
'm	VBP	be
on	IN	on
a	DT	a
horse	NN	horse
.	SENT	.
I	PP	I
'm	VBP	be
on	IN	on
a	DT	a
horse	NN	horse
.	SENT	.
