What	WP	what
's	VBZ	be
a	DT	a
powerful	JJ	powerful
way	NN	way
to	TO	to
cut	VB	cut
through	IN	through
everyday	JJ	everyday
greasy	JJ	greasy
messes	NNS	mess
?	SENT	?
Sponges	VBZ	sponge
,	,	,
take	VB	take
your	PP$	your
mark	NN	mark
.	SENT	.
One	CD	one
drop	NN	drop
of	IN	of
Ultra	JJ	ultra
Dawn	NP	Dawn
has	VBZ	have
twice	RB	twice
the	DT	the
everyday	JJ	everyday
grease	NN	grease
cleaning	VBG	clean
ingredients	NNS	ingredient
of	IN	of
one	CD	one
drop	NN	drop
of	IN	of
the	DT	the
leading	VBG	lead
non-concentrated	JJ	non-concentrated
brand	NN	brand
.	SENT	.
To	TO	to
clean	VB	clean
two	CD	two
times	NNS	time
more	RBR	more
greasy	JJ	greasy
dishes	NNS	dish
.	SENT	.
Dawn	NN	dawn
does	VBZ	do
more	RBR	more
,	,	,
so	RB	so
it	PP	it
's	VBZ	be
not	RB	not
a	DT	a
chore	NN	chore
.	SENT	.
