Hey	UH	hey
parents	NNS	parent
,	,	,
it	PP	it
's	VBZ	be
a	DT	a
big	JJ	big
year	NN	year
.	SENT	.
I	PP	I
'm	VBP	be
not	RB	not
just	RB	just
teaching	VBG	teach
music	NN	music
,	,	,
I	PP	I
'm	VBP	be
teaching	VBG	teach
performance	NN	performance
.	SENT	.
Here	RB	here
's	VBZ	be
what	WP	what
they	PP	they
'll	MD	will
need	VB	need
.	SENT	.
Get	VB	get
your	PP$	your
backpacks	NNS	backpack
,	,	,
your	PP$	your
hoodies	NNS	<unknown>
,	,	,
Harajuku	NP	<unknown>
,	,	,
turquoise	JJ	turquoise
,	,	,
purple	JJ	purple
,	,	,
orange	JJ	orange
,	,	,
sort	NN	sort
of	IN	of
blue	NN	blue
.	SENT	.
Backpacks	NNS	backpack
,	,	,
ow	NNS	<unknown>
,	,	,
to	TO	to
put	VB	put
their	PP$	their
stuff	NN	stuff
in	RP	in
.	SENT	.
Graphic	JJ	graphic
piece	NN	piece
in	IN	in
denim	NN	denim
,	,	,
denim	NN	denim
,	,	,
denim	NN	denim
,	,	,
denim	NN	denim
.	SENT	.
Backpacks	NNS	backpack
.	SENT	.
School	NP	School
takes	VBZ	take
a	DT	a
lot	NN	lot
.	SENT	.
