Oh	UH	oh
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
smiling	VBG	smile
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
smiling	VBG	smile
,	,	,
the	DT	the
whole	JJ	whole
world	NN	world
smiles	VBZ	smile
with	IN	with
you	PP	you
,	,	,
baby	NN	baby
,	,	,
baby	NN	baby
.	SENT	.
Yes	UH	yes
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
laughing	VBG	laugh
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
laughing	VBG	laugh
,	,	,
yes	UH	yes
,	,	,
the	DT	the
sun	NN	sun
comes	VBZ	come
shining	VBG	shine
through	RP	through
.	SENT	.
Yes	UH	yes
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
laughing	VBG	laugh
,	,	,
when	WRB	when
you	PP	you
're	VBP	be
laughing	VBG	laugh
,	,	,
the	DT	the
whole	JJ	whole
world	NN	world
smiles	VBZ	smile
with	IN	with
you	PP	you
,	,	,
baby	NN	baby
,	,	,
baby	NN	baby
.	SENT	.
