With	IN	with
every	DT	every
era	NN	era
comes	VBZ	come
two	CD	two
things	NNS	thing
,	,	,
change	NN	change
,	,	,
and	CC	and
a	DT	a
Honda	NP	Honda
Accord	NP	Accord
that	WDT	that
defines	VBZ	define
a	DT	a
generation	NN	generation
.	SENT	.
Introducing	VBG	introduce
the	DT	the
all-new	JJ	all-new
Accord	NP	Accord
,	,	,
the	DT	the
most	RBS	most
impressive	JJ	impressive
Honda	NN	Honda
ever	RB	ever
.	SENT	.
Introducing	VBG	introduce
the	DT	the
all-new	JJ	all-new
Accord	NP	Accord
,	,	,
the	DT	the
most	RBS	most
impressive	JJ	impressive
Honda	NN	Honda
ever	RB	ever
.	SENT	.
