Hey	UH	hey
it	PP	it
's	VBZ	be
Sandra	NP	Sandra
from	IN	from
accounting	VBG	account
Peter	NP	Peter
I	PP	I
can	MD	can
see	VB	see
that	IN	that
you	PP	you
're	VBP	be
busy	JJ	busy
but	CC	but
you	PP	you
were	VBD	be
going	VBG	go
to	TO	to
help	VB	help
us	PP	us
crunch	VB	crunch
the	DT	the
numbers	NNS	number
for	IN	for
accounts	NNS	account
receivable	JJ	receivable
today	NN	today
I	PP	I
mean	VBP	mean
I	PP	I
know	VBP	know
that	IN	that
this	DT	this
is	VBZ	be
important	JJ	important
both	CC	both
are	VBP	be
important	JJ	important
they	PP	they
are	VBP	be
but	CC	but
this	DT	this
is	VBZ	be
this	DT	this
is	VBZ	be
important	JJ	important
too	RB	too
the	DT	the
receivables	NN	receivables
Michelin	NP	Michelin
knows	VBZ	know
it	PP	it
's	VBZ	be
better	JJR	good
for	IN	for
Xerox	NP	Xerox
to	TO	to
help	VB	help
manage	VB	manage
their	PP$	their
finance	NN	finance
processing	NN	processing
so	IN	so
they	PP	they
can	MD	can
focus	VB	focus
on	IN	on
keeping	VBG	keep
the	DT	the
world	NN	world
moving	VBG	move
with	IN	with
Xerox	NP	Xerox
you	PP	you
're	VBP	be
ready	JJ	ready
for	IN	for
real	JJ	real
business	NN	business
