Models	NNS	model
in	IN	in
dealer	NN	dealer
stock	NN	stock
.	SENT	.
The	DT	the
Schick	NP	Schick
Hydro	NP	Hydro
Silk	NP	Silk
Trim	NP	Trim
Style	NP	Style
.	SENT	.
The	DT	the
tool	NN	tool
you	PP	you
've	VBP	have
been	VBN	be
waiting	VBG	wait
for	IN	for
.	SENT	.
The	DT	the
only	JJ	only
waterproof	JJ	waterproof
bikini	NN	bikini
trimmer	NN	trimmer
and	CC	and
hydrating	VBG	hydrate
razor	NN	razor
in	IN	in
one	CD	one
.	SENT	.
Schick	NP	Schick
Hydro	NP	Hydro
Silk	NP	Silk
Trim	NP	Trim
Style	NP	Style
.	SENT	.
Free	JJ	free
your	PP$	your
skin	NN	skin
.	SENT	.
Schick	NP	Schick
Hydro	NP	Hydro
Silk	NP	Silk
Trim	NP	Trim
Style	NP	Style
.	SENT	.
