hey	UH	hey
there	EX	there
folks	VBZ	folk
it	PP	it
's	VBZ	be
me	PP	me
the	DT	the
extra	JJ	extra
crispy	JJ	crispy
colonel	NN	colonel
now	RB	now
i	NP	i
love	NN	love
original	JJ	original
recipe	NN	recipe
but	CC	but
in	IN	in
this	DT	this
sizzling	JJ	sizzling
summer	NN	summer
heat	NN	heat
i	NNS	i
'm	VBP	be
feeling	VBG	feel
a	DT	a
little	JJ	little
extra	JJ	extra
crispy	JJ	crispy
my	PP$	my
extra	JJ	extra
crispy	JJ	crispy
20	CD	@card@
philip	NN	<unknown>
is	VBZ	be
freshly	RB	freshly
double	RB	double
breaded	VBN	bread
and	CC	and
fried	VBN	fry
to	TO	to
a	DT	a
luxurious	JJ	luxurious
mouth-watering	JJ	mouth-watering
bronze	NN	bronze
extra	JJ	extra
crispy	JJ	crispy
is	VBZ	be
n't	RB	n't
just	RB	just
the	DT	the
product	NN	product
it	PP	it
's	VBZ	be
a	DT	a
lifestyle	NN	lifestyle
kfc	NN	kfc
it	PP	it
's	VBZ	be
extra	JJ	extra
crispy	JJ	crispy
