Yo	NP	Yo
,	,	,
Joe	NP	Joe
White	NP	White
for	IN	for
Pro-Kids	NP	<unknown>
.	SENT	.
Gotta	NP	Gotta
get	VBP	get
on	IN	on
up	RB	up
,	,	,
gotta	VB	gotta
make	VB	make
a	DT	a
move	NN	move
,	,	,
gotta	VB	gotta
get	VB	get
on	IN	on
up	RB	up
.	SENT	.
Baby	NN	baby
,	,	,
pick	VB	pick
me	PP	me
up	RP	up
.	SENT	.
Yeah	RB	yeah
,	,	,
they	PP	they
're	VBP	be
springy	JJ	springy
and	CC	and
they	PP	they
get	VBP	get
me	PP	me
on	IN	on
up	RB	up
there	RB	there
.	SENT	.
But	CC	but
what	WP	what
I	PP	I
really	RB	really
like	VBP	like
is	VBZ	be
the	DT	the
protection	NN	protection
and	CC	and
the	DT	the
support	NN	support
they	PP	they
give	VBP	give
you	PP	you
.	SENT	.
Because	IN	because
after	IN	after
you	PP	you
get	VBP	get
up	RB	up
there	RB	there
,	,	,
you	PP	you
've	VBP	have
got	VBN	get
to	TO	to
come	VB	come
down	RP	down
.	SENT	.
Baby	NN	baby
,	,	,
pick	VB	pick
me	PP	me
up	RP	up
.	SENT	.
But	CC	but
you	PP	you
let	VBP	let
me	PP	me
down	RP	down
.	SENT	.
But	CC	but
you	PP	you
let	VBP	let
me	PP	me
down	RB	down
easy	JJ	easy
.	SENT	.
Down	RB	down
easy	JJ	easy
.	SENT	.
You	PP	you
let	VBP	let
me	PP	me
down	RB	down
easy	JJ	easy
.	SENT	.
Down	RB	down
easy	JJ	easy
.	SENT	.
You	PP	you
let	VBP	let
me	PP	me
down	RB	down
easy	JJ	easy
.	SENT	.
