Hey	UH	hey
everybody	NN	everybody
,	,	,
it	PP	it
's	VBZ	be
the	DT	the
M&M	NNS	M&M
's	POS	's
Candies	NNS	candy
Gang	NP	Gang
!	SENT	!
Who	WP	who
takes	VBZ	take
peanuts	NNS	peanut
and	CC	and
chocolate	NN	chocolate
?	SENT	?
Who	WP	who
takes	VBZ	take
peanuts	NNS	peanut
and	CC	and
chocolate	NN	chocolate
?	SENT	?
And	CC	and
mixes	VBZ	mix
them	PP	them
just	RB	just
right	RB	right
?	SENT	?
And	CC	and
mixes	VBZ	mix
them	PP	them
just	RB	just
right	RB	right
?	SENT	?
Gives	VBZ	give
them	PP	them
rainbow	NN	rainbow
colors	NNS	color
so	IN	so
they	PP	they
're	VBP	be
always	RB	always
nice	JJ	nice
and	CC	and
bright	JJ	bright
!	SENT	!
The	DT	the
M&M	NP	M&M
's	POS	's
Gang	NP	Gang
!	SENT	!
The	DT	the
M&M	NP	M&M
's	POS	's
Gang	NP	Gang
!	SENT	!
The	DT	the
M&M	NP	M&M
's	POS	's
Gang	NP	Gang
!	SENT	!
And	CC	and
we	PP	we
add	VBP	add
a	DT	a
lot	NN	lot
of	IN	of
love	NN	love
to	TO	to
make	VB	make
it	PP	it
all	DT	all
taste	NN	taste
good	JJ	good
!	SENT	!
M&M	NP	M&M
's	POS	's
!	SENT	!
The	DT	the
milk	NN	milk
chocolate	NN	chocolate
melts	VBZ	melt
in	IN	in
your	PP$	your
mouth	NN	mouth
,	,	,
not	RB	not
in	IN	in
your	PP$	your
head	NN	head
!	SENT	!
