there	EX	there
is	VBZ	be
no	DT	no
jewel	NN	jewel
on	IN	on
earth	NN	earth
more	RBR	more
precious	JJ	precious
than	IN	than
the	DT	the
emerald	JJ	emerald
emerald	JJ	emerald
perfume	NN	perfume
like	IN	like
the	DT	the
jewels	NNS	jewel
for	IN	for
which	WDT	which
it	PP	it
is	VBZ	be
named	VBN	name
is	VBZ	be
a	DT	a
precious	JJ	precious
liquid	JJ	liquid
emerald	JJ	emerald
compelling	JJ	compelling
provocative	JJ	provocative
and	CC	and
slightly	RB	slightly
dangerous	JJ	dangerous
after	IN	after
all	DT	all
if	IN	if
you	PP	you
're	VBP	be
going	VBG	go
to	TO	to
play	VB	play
it	PP	it
safe	JJ	safe
why	WRB	why
play	NN	play
at	IN	at
all	DT	all
emerald	JJ	emerald
perfume	NN	perfume
by	IN	by
