when	WRB	when
your	PP$	your
street	NN	street
turns	VBZ	turn
into	IN	into
a	DT	a
fever	NN	fever
street	NN	street
be	VB	be
ready	JJ	ready
with	IN	with
dristan	JJ	<unknown>
tablets	NNS	tablet
compare	VBP	compare
leading	VBG	lead
allergy	NN	allergy
products	NNS	product
only	JJ	only
dristan	NN	<unknown>
combines	VBZ	combine
medicine	NN	medicine
for	IN	for
sneezing	VBG	sneeze
and	CC	and
congestion	NN	congestion
with	IN	with
extra	JJ	extra
medicine	NN	medicine
650	CD	@card@
milligrams	NNS	milligram
per	IN	per
dose	NN	dose
for	IN	for
allergy	NN	allergy
headache	NN	headache
and	CC	and
sinus	NN	sinus
pain	NN	pain
extra	JJ	extra
relief	NN	relief
the	DT	the
others	NNS	other
do	VBP	do
n't	RB	n't
give	VB	give
in	IN	in
minutes	NNS	minute
sneezing	VBG	sneeze
dripping	VBG	drip
pains	NNS	pain
relieved	VBN	relieve
hey	UH	hey
get	VB	get
dristan	NN	<unknown>
with	IN	with
extra	JJ	extra
relief	NN	relief
medicine	NN	medicine
the	DT	the
others	NNS	other
do	VBP	do
n't	RB	n't
have	VB	have
