Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
Juliette	NP	Juliette
Prowse	NP	Prowse
,	,	,
and	CC	and
as	IN	as
a	DT	a
dancer	NN	dancer
,	,	,
my	PP$	my
legs	NNS	leg
are	VBP	be
my	PP$	my
fortune	NN	fortune
,	,	,
so	RB	so
I	PP	I
'd	MD	will
be	VB	be
crazy	JJ	crazy
to	TO	to
be	VB	be
caught	VBN	catch
with	IN	with
wrinkles	NNS	wrinkle
around	IN	around
my	PP$	my
ankles	NNS	ankle
.	SENT	.
That	DT	that
's	VBZ	be
why	WRB	why
I	PP	I
wear	VBP	wear
legs	NNS	leg
.	SENT	.
Legs	NNS	leg
,	,	,
regular	JJ	regular
pantyhose	NN	pantyhose
,	,	,
give	VB	give
me	PP	me
a	DT	a
beautiful	JJ	beautiful
fit	NN	fit
.	SENT	.
Because	IN	because
legs	NNS	leg
has	VBZ	have
memory	NN	memory
yarn	NN	yarn
.	SENT	.
Stretches	NNS	stretch
out	RB	out
and	CC	and
back	RB	back
.	SENT	.
No	DT	no
bagging	NN	bagging
,	,	,
no	DT	no
sagging	NN	sagging
.	SENT	.
Believe	VB	believe
me	PP	me
,	,	,
nothing	NN	nothing
beats	VBZ	beat
a	DT	a
great	JJ	great
pair	NN	pair
of	IN	of
legs	NNS	leg
.	SENT	.
Nothing	NN	nothing
beats	VBZ	beat
a	DT	a
great	JJ	great
pair	NN	pair
of	IN	of
legs	NNS	leg
.	SENT	.
