look	VB	look
at	IN	at
you	PP	you
beautiful	JJ	beautiful
from	IN	from
your	PP$	your
hair	NN	hair
to	TO	to
your	PP$	your
favor	NN	favor
leather	NN	leather
boots	NNS	boot
specially	RB	specially
priced	VBN	price
at	IN	at
thirty	CD	thirty
dollars	NNS	dollar
favor	VBP	favor
leather	NN	leather
boots	NNS	boot
reflect	VBP	reflect
your	PP$	your
sense	NN	sense
of	IN	of
fashion	NN	fashion
your	PP$	your
smart	JJ	smart
way	NN	way
with	IN	with
money	NN	money
favor	NN	favor
leather	NN	leather
boots	VBZ	boot
just	RB	just
thirty	CD	thirty
dollars	NNS	dollar
why	WRB	why
pay	VBP	pay
fifty	CD	fifty
dollars	NNS	dollar
or	CC	or
more	JJR	more
when	WRB	when
good	JJ	good
leather	NN	leather
boots	NNS	boot
are	VBP	be
just	RB	just
thirty	CD	thirty
dollars	NNS	dollar
at	IN	at
favor	NN	favor
you	PP	you
and	CC	and
your	PP$	your
favor	NN	favor
boots	NNS	boot
beautiful	JJ	beautiful
from	IN	from
every	DT	every
angle	NN	angle
you	PP	you
