Your	PP$	your
body	NN	body
knows	VBZ	know
the	DT	the
difference	NN	difference
between	IN	between
these	DT	these
pain	NN	pain
relievers	NNS	reliever
and	CC	and
Adult	JJ	adult
Strength	NP	Strength
Anacin	NP	Anacin
.	SENT	.
For	IN	for
pain	NN	pain
other	JJ	other
than	IN	than
headache	NN	headache
,	,	,
Anacin	NP	Anacin
reduces	VBZ	reduce
the	DT	the
inflammation	NN	inflammation
that	WDT	that
often	RB	often
comes	VBZ	come
with	IN	with
pain	NN	pain
.	SENT	.
These	DT	these
do	VBP	do
not	RB	not
.	SENT	.
Specifically	RB	specifically
,	,	,
inflammation	NN	inflammation
of	IN	of
tooth	NN	tooth
extraction	NN	extraction
,	,	,
muscle	NN	muscle
strain	NN	strain
,	,	,
backache	NN	backache
,	,	,
or	CC	or
if	IN	if
you	PP	you
're	VBP	be
a	DT	a
doctor	NN	doctor
diagnosis	NN	diagnosis
,	,	,
tendinitis	NN	tendinitis
,	,	,
neuritis	NN	neuritis
.	SENT	.
Anacin	NP	Anacin
reduces	VBZ	reduce
that	IN	that
inflammation	NN	inflammation
as	IN	as
Anacin	NP	Anacin
relieves	VBZ	relieve
pain	NN	pain
fast	RB	fast
.	SENT	.
These	DT	these
do	VBP	do
not	RB	not
.	SENT	.
Take	VB	take
Adult	NN	adult
Strength	NP	Strength
Anacin	NP	Anacin
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
.	SENT	.
