When	WRB	when
it	PP	it
comes	VBZ	come
to	TO	to
parenting	VBG	parent
,	,	,
you	PP	you
're	VBP	be
a	DT	a
pro	NN	pro
.	SENT	.
You	PP	you
know	VBP	know
your	PP$	your
kid	NN	kid
does	VBZ	do
n't	RB	n't
step	VB	step
around	RP	around
puddles	NNS	puddle
.	SENT	.
And	CC	and
you	PP	you
know	VBP	know
cheap	JJ	cheap
leaky	JJ	leaky
diapers	NNS	diaper
are	VBP	be
an	DT	an
amateur	JJ	amateur
move	NN	move
.	SENT	.
You	PP	you
need	VBP	need
Love	NP	Love
's	POS	's
pro-level	JJ	pro-level
leak	NN	leak
protection	NN	protection
.	SENT	.
Love	NP	Love
's	POS	's
.	SENT	.
Parent	NN	parent
like	IN	like
a	DT	a
pro	NN	pro
.	SENT	.
