Ah	UH	ah
!	SENT	!
Freaks	VBZ	freak
up	RP	up
!	SENT	!
We	PP	we
're	VBP	be
trapped	VBN	trap
by	IN	by
dishes	NNS	dish
!	SENT	!
Do	VBP	do
n't	RB	n't
worry	VB	worry
!	SENT	!
They	PP	they
've	VBP	have
got	VBN	get
New	NP	New
Dawn	NP	Dawn
Power	NP	Power
Suds	NN	suds
!	SENT	!
It	PP	it
traps	VBZ	trap
,	,	,
locks	NNS	lock
,	,	,
and	CC	and
removes	VBZ	remove
99	CD	@card@
%	NN	%
of	IN	of
grease	NN	grease
.	SENT	.
So	RB	so
it	PP	it
does	VBZ	do
n't	RB	n't
get	VB	get
passed	VBN	pass
from	IN	from
dish	NN	dish
to	TO	to
dish	VB	dish
.	SENT	.
Clean	NP	Clean
and	CC	and
stacked	VBN	stack
.	SENT	.
Like	IN	like
ducks	NNS	duck
in	IN	in
a	DT	a
row	NN	row
?	SENT	?
New	NP	New
Dawn	NP	Dawn
Power	NP	Power
Suds	NN	suds
.	SENT	.
