Hi	UH	hi
,	,	,
I	PP	I
'm	VBP	be
a	DT	a
new	JJ	new
customer	NN	customer
and	CC	and
I	PP	I
want	VBP	want
your	PP$	your
best	JJS	good
new	JJ	new
smartphone	NN	smartphone
deal	NN	deal
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
'm	VBP	be
an	DT	an
existing	JJ	existing
customer	NN	customer
and	CC	and
I	PP	I
'd	MD	will
like	VB	like
your	PP$	your
best	JJS	good
new	JJ	new
smartphone	NN	smartphone
deal	NN	deal
.	SENT	.
Do	VB	do
ya	NN	ya
?	SENT	?
Actually	RB	actually
,	,	,
it	PP	it
's	VBZ	be
for	IN	for
both	DT	both
new	JJ	new
and	CC	and
existing	JJ	existing
customers	NNS	customer
.	SENT	.
I	PP	I
feel	VBP	feel
silly	RB	silly
.	SENT	.
But	CC	but
I	PP	I
do	VBP	do
want	VB	want
the	DT	the
fastest	JJS	fast
5G	NN	5G
network	NN	network
.	SENT	.
Well	RB	well
,	,	,
I	PP	I
want	VBP	want
the	DT	the
fastest	JJS	fast
5G	NN	5G
network	NN	network
.	SENT	.
Are	VBP	be
we	PP	we
actually	RB	actually
doing	VBG	do
this	DT	this
again	RB	again
?	SENT	?
It	PP	it
's	VBZ	be
not	RB	not
complicated	VBN	complicate
.	SENT	.
Only	RB	only
AT&T	NP	AT&T
gives	VBZ	give
everyone	NN	everyone
the	DT	the
same	JJ	same
great	JJ	great
deal	NN	deal
.	SENT	.
Like	IN	like
the	DT	the
Samsung	NP	Samsung
Galaxy	NN	galaxy
S21	NP	S@card@
5G	NP	5G
for	IN	for
free	JJ	free
when	WRB	when
you	PP	you
trade	VBP	trade
in	IN	in
.	SENT	.
That	DT	that
's	VBZ	be
for	IN	for
sure	JJ	sure
.	SENT	.
