Ugh	NP	Ugh
,	,	,
this	DT	this
rental	JJ	rental
car	NN	car
is	VBZ	be
so	RB	so
boring	JJ	boring
to	TO	to
drive	VB	drive
.	SENT	.
Let	VB	let
's	VBZ	be
be	VB	be
honest	JJ	honest
.	SENT	.
The	DT	the
rent-a-car	NN	rent-a-car
industry	NN	industry
is	VBZ	be
the	DT	the
definition	NN	definition
of	IN	of
boring	JJ	boring
,	,	,
and	CC	and
the	DT	the
reason	NN	reason
can	MD	can
be	VB	be
found	VBN	find
in	IN	in
the	DT	the
name	NN	name
itself	PP	itself
.	SENT	.
Rent-a-car	NN	rent-a-car
?	SENT	?
You	PP	you
do	VBP	do
n't	RB	n't
want	VB	want
a	DT	a
friend	NN	friend
.	SENT	.
You	PP	you
want	VBP	want
the	DT	the
friend	NN	friend
.	SENT	.
You	PP	you
do	VBP	do
n't	RB	n't
want	VB	want
a	DT	a
job	NN	job
.	SENT	.
You	PP	you
want	VBP	want
the	DT	the
job	NN	job
.	SENT	.
The	DT	the
is	VBZ	be
always	RB	always
over	RB	over
a.	JJ	<unknown>
That	DT	that
's	VBZ	be
why	WRB	why
we	PP	we
do	VBP	do
n't	RB	n't
offer	VB	offer
a	DT	a
car	NN	car
.	SENT	.
We	PP	we
offer	VBP	offer
the	DT	the
car	NN	car
.	SENT	.
Sixth	RB	sixth
,	,	,
rent	VB	rent
the	DT	the
car	NN	car
.	SENT	.
Sixth	RB	sixth
,	,	,
rent	VB	rent
the	DT	the
car	NN	car
.	SENT	.
