When	WRB	when
I	PP	I
use	VBP	use
my	PP$	my
Bosch	NP	Bosch
lasers	NNS	laser
,	,	,
I	PP	I
feel	VBP	feel
unstoppable	JJ	unstoppable
.	SENT	.
Like	IN	like
a	DT	a
lean	JJ	lean
,	,	,
mean	JJ	mean
laser	NN	laser
leveling	VBG	level
machine	NN	machine
.	SENT	.
Let	VB	let
's	VBZ	be
get	VB	get
this	DT	this
job	NN	job
started	VBD	start
!	SENT	!
No	DT	no
matter	NN	matter
what	WP	what
job	VBP	job
I	PP	I
'm	VBP	be
up	RP	up
against	IN	against
,	,	,
laser	NN	laser
precision	NN	precision
helps	VBZ	help
me	PP	me
knock	VB	knock
it	PP	it
out	RP	out
in	IN	in
the	DT	the
first	JJ	first
round	NN	round
.	SENT	.
Easy	RB	easy
,	,	,
easy	JJ	easy
,	,	,
easy	JJ	easy
.	SENT	.
Because	IN	because
I	PP	I
'm	VBP	be
here	RB	here
to	TO	to
do	VB	do
two	CD	two
things	NNS	thing
.	SENT	.
Work	NN	work
precisely	RB	precisely
...	:	...
...	:	...
and	CC	and
punch	VB	punch
some	DT	some
stuff	NN	stuff
.	SENT	.
With	IN	with
the	DT	the
precision	NN	precision
to	TO	to
knock	VB	knock
the	DT	the
job	NN	job
out	RP	out
.	SENT	.
The	DT	the
more	JJR	more
you	PP	you
Bosch	NP	Bosch
,	,	,
the	DT	the
more	RBR	more
you	PP	you
feel	VBP	feel
like	IN	like
a	DT	a
...	:	...
...	:	...
assistant	JJ	assistant
laser	NN	laser
laser	NN	laser
profiler	NN	profiler
.	SENT	.
The	DT	the
more	JJR	more
you	PP	you
look	VBP	look
into	IN	into
the	DT	the
dots	NNS	dot
,	,	,
the	DT	the
more	RBR	more
you	PP	you
'll	MD	will
notice	VB	notice
the	DT	the
difference	NN	difference
.	SENT	.
It	PP	it
's	VBZ	be
really	RB	really
easy	JJ	easy
to	TO	to
do	VB	do
two	CD	two
things	NNS	thing
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
three	CD	three
things	NNS	thing
at	IN	at
once	RB	once
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
...	:	...
...	:	...
two	CD	two
things	NNS	thing
at	IN	at
once	RB	once
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
...	:	...
...	:	...
three	CD	three
things	NNS	thing
at	IN	at
once	RB	once
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
...	:	...
...	:	...
two	CD	two
things	NNS	thing
at	IN	at
once	RB	once
.	SENT	.
We	PP	we
can	MD	can
do	VB	do
...	:	...
...	:	...
three	CD	three
things	NNS	thing
at	IN	at
once	RB	once
.	SENT	.
And	CC	and
we	PP	we
can	MD	can
do	VB	do
...	:	...
...	:	...
one	CD	one
thing	NN	thing
at	IN	at
once	RB	once
.	SENT	.
