Did	VBD	do
you	PP	you
know	VBP	know
that	IN	that
Dove	NP	Dove
Bar	NP	Bar
washes	VBZ	wash
away	RP	away
germs	NNS	germ
?	SENT	?
Here	RB	here
,	,	,
Pepper	NP	Pepper
represents	VBZ	represent
germs	NNS	germ
.	SENT	.
With	IN	with
Dove	NN	dove
,	,	,
the	DT	the
germs	NNS	germ
wash	VBP	wash
away	RB	away
.	SENT	.
With	IN	with
1-Quarter	JJ	<unknown>
Moisturizing	VBG	moisturize
Cream	NN	cream
,	,	,
Dove	NP	Dove
cleans	VBZ	clean
effectively	RB	effectively
,	,	,
cares	VBZ	care
beautifully	RB	beautifully
.	SENT	.
