Hey	UH	hey
,	,	,
it	PP	it
's	VBZ	be
me	PP	me
,	,	,
your	PP$	your
dry	JJ	dry
skin	NN	skin
.	SENT	.
I	PP	I
know	VBP	know
I	PP	I
can	MD	can
be	VB	be
challenging	JJ	challenging
,	,	,
but	CC	but
I	PP	I
'm	VBP	be
deeper	JJR	deep
than	IN	than
what	WP	what
you	PP	you
see	VBP	see
.	SENT	.
I	PP	I
'm	VBP	be
craving	VBG	crave
something	NN	something
we	PP	we
're	VBP	be
missing	VBG	miss
.	SENT	.
The	DT	the
ceramides	NNS	ceramide
in	IN	in
CeraVe	NP	<unknown>
.	SENT	.
CeraVe	NP	<unknown>
contains	VBZ	contain
three	CD	three
essential	JJ	essential
ceramides	NNS	ceramide
to	TO	to
restore	VB	restore
the	DT	the
ones	NNS	one
we	PP	we
've	VBP	have
lost	VBN	lose
and	CC	and
help	VB	help
repair	VB	repair
my	PP$	my
natural	JJ	natural
barrier	NN	barrier
.	SENT	.
So	RB	so
I	PP	I
can	MD	can
lock	VB	lock
in	IN	in
moisture	NN	moisture
and	CC	and
keep	VB	keep
us	PP	us
protected	VBN	protect
.	SENT	.
We	PP	we
're	VBP	be
in	IN	in
this	DT	this
together	RB	together
,	,	,
so	RB	so
we	PP	we
've	VBP	have
got	VBN	get
to	TO	to
have	VB	have
each	DT	each
other	JJ	other
's	POS	's
backs	NNS	back
and	CC	and
fronts	NNS	front
.	SENT	.
CeraVe	NP	<unknown>
,	,	,
now	RB	now
the	DT	the
number	NN	number
one	CD	one
dermatologist	NN	dermatologist
recommended	JJ	recommended
skin	NN	skin
care	NN	care
brand	NN	brand
.	SENT	.
CeraVe	NP	<unknown>
,	,	,
now	RB	now
the	DT	the
number	NN	number
one	CD	one
dermatologist	NN	dermatologist
recommended	JJ	recommended
skin	NN	skin
care	NN	care
brand	NN	brand
.	SENT	.
