Decade	Category	Commercial ID	Product Name	Description
1950	Health, Beauty & Personal Care	tv_com_1950_1	Liquid Peptans	This is a commercial for Liquid Peptans, from the 1950s. This antacid product is used for reducing stomach acidity to relieve discomfort.
1950	Household, Cleaning & Home Care	tv_com_1950_3	Kentile Floors Easy Clean Vinyl	This is a commercial for Kentile Floors Easy Clean Vinyl, from the 1950s. This vinyl flooring product is used for covering floors to provide and easy-to-clean surface.
1950	Food, Beverages & Nutrition	tv_com_1950_5	Best Foods Real Mayonnaise	This is a commercial for Best Foods Real Mayonnaise, from the 1950s. This sauce is used for food preparation to add flavor and creaminess to meals.
1950	Food, Beverages & Nutrition	tv_com_1950_6	Good Measure Brand Diet Dinner Beef Stew	This is a commercial for Good Measure Brand Diet Dinner Beef Stew, from the 1950s. This prepared meal product is used for providing a low-calorie food option.
1950	Food, Beverages & Nutrition	tv_com_1950_7	Florida Canned Orange Juice	This is a commercial for Florida Canned Orange Juice, from the 1950s. This beverage product is used for drinking to provide refreshment and vitamin C.
1950	Food, Beverages & Nutrition	tv_com_1950_8	Post Rice Krinkles Cereal	This is a commercial for Post Rice Krinkles Cereal, from the 1950s. This breakfast cereal is used for eating in the morning to provide quick nutrition and energy.
1950	Health, Beauty & Personal Care	tv_com_1950_9	Triactin	This is a commercial for Triactin, from the 50s. This antacid product is used for reducing stomach acidity to relieve discomfort.
1950	Health, Beauty & Personal Care	tv_com_1950_10	Vanquish	This is a commercial for Vanquish, from the 1950s. This pain relief medication is used for reducing minor pain such as headaches and body aches.
1950	Health, Beauty & Personal Care	tv_com_1950_11	Vicks VapoRub	This is a commercial for Vicks VapoRub, from the 1950s. This topical medicinal ointment is used for relieving cough and nasal congestion to provide temporary respiratory comfort.
1950	Food, Beverages & Nutrition	tv_com_1950_12	Red Cap Ale	This is a commercial for Red Cap Ale, from the 1950s. This alcoholic beverage is used for drinking as a beer/ale product for recreational consumption and social enjoyment.
1950	Food, Beverages & Nutrition	tv_com_1950_13	Yuban Coffee	This is a commercial for Yuban Coffee, from the 1950s. This coffee product is used for brewing coffee to provide a caffeinated beverage.
1950	Retail (Fashion & Consumer Goods) & Services	tv_com_1950_14	Western Union Telegram	This is a commercial for Western Union Telegram, from the 1950s. This communication service is used for sending written messages over long distances to enable fast remote communication.
1950	Food, Beverages & Nutrition	tv_com_1950_15	Pream Dairy Product	This is a commercial for Pream Dairy Product, from the 1950s. This product is a dairy-based food ingredient used to add creaminess and enrich beverages.
